freq,station,start,end,days,language,pwr,az,transmitter_site
6030,Radio Oromiya,02:55,20:00,1234567,Afar,100,ND,"ETH
Addis Ababa-gedjaLatitude: 08°45'N
Longitude: 038°39'E
Bearing: 79°
Distance: 9780km"
11655,IBRA MEDIA/Radio Ibrahim,16:00,16:30,1234567,Afar,250,225,"UAE
Al-DhabbiyaLatitude: 24°10'N
Longitude: 054°14'E
Bearing: 70°
Distance: 11908km"
17680,TWR Africa,13:00,13:15,1...567,Afar,250,250,"UAE
Al-DhabbiyaLatitude: 24°10'N
Longitude: 054°14'E
Bearing: 70°
Distance: 11908km"
5925,VO ISLAMIC REP.IRAN,18:23,19:20,1234567,Albanian,500,295,"IRN
SirjanLatitude: 29°35'N
Longitude: 055°47'E
Bearing: 64°
Distance: 12207km"
5970,VO ISLAMIC REP.IRAN,18:23,19:20,1234567,Albanian,500,295,"IRN
SirjanLatitude: 29°35'N
Longitude: 055°47'E
Bearing: 64°
Distance: 12207km"
6020,CHINA RADIO INTERNATIONAL,19:00,19:57,1234567,Albanian,500,315,"CHN
ShijiazhuangLatitude: 37°49'N
Longitude: 114°28'E
Bearing: 40°
Distance: 17338km"
7385,CHINA RADIO INTERNATIONAL,19:00,19:57,1234567,Albanian,500,294,"TKS
Kashi-saibaghLatitude: 39°21'N
Longitude: 075°42'E
Bearing: 55°
Distance: 14132km"
9440,R.CAIRO,15:00,16:00,1234567,Albanian,125,325,"EGY
AbisLatitude: 31°07'N
Longitude: 030°04'E
Bearing: 56°
Distance: 9933km"
6090,Radio Amhara,03:00,06:00,1234567,Amharic,100,ND,"ETH
Addis Ababa-gedjaLatitude: 08°45'N
Longitude: 038°39'E
Bearing: 79°
Distance: 9780km"
6090,Radio Amhara,09:00,11:00,1234567,Amharic,100,ND,"ETH
Addis Ababa-gedjaLatitude: 08°45'N
Longitude: 038°39'E
Bearing: 79°
Distance: 9780km"
6090,Radio Amhara,14:00,17:30,1234567,Amharic,100,ND,"ETH
Addis Ababa-gedjaLatitude: 08°45'N
Longitude: 038°39'E
Bearing: 79°
Distance: 9780km"
6090,Radio Amhara,19:30,21:00,1234567,Amharic,100,ND,"ETH
Addis Ababa-gedjaLatitude: 08°45'N
Longitude: 038°39'E
Bearing: 79°
Distance: 9780km"
6110,R.Fana,03:00,05:30,.23456.,Amharic,100,ND,"ETH
Addis Ababa AreaLatitude: 08°58'N
Longitude: 038°43'E
Bearing: 79°
Distance: 9794km"
