freq,station,start,end,days,language,pwr,az,transmitter_site,latitude,longitude
6030,Radio Oromiya,02:55:00,20:00:00,1234567,Afar,100,ND,"ETH\
Addis Ababa-gedjaLatitude: 08°45'N\
Longitude: 038°39'E\
Bearing: 79°\
Distance: 9780km", 08°45'N, 038°39'E
11655,IBRA MEDIA/Radio Ibrahim,16:00:00,16:30:00,1234567,Afar,250,225,"UAE\
Al-DhabbiyaLatitude: 24°10'N\
Longitude: 054°14'E\
Bearing: 70°\
Distance: 11908km", 24°10'N, 054°14'E
17680,TWR Africa,13:00:00,13:15:00,1...567,Afar,250,250,"UAE\
Al-DhabbiyaLatitude: 24°10'N\
Longitude: 054°14'E\
Bearing: 70°\
Distance: 11908km", 24°10'N, 054°14'E
5925,VO ISLAMIC REP.IRAN,18:23:00,19:20:00,1234567,Albanian,500,295,"IRN\
SirjanLatitude: 29°35'N\
Longitude: 055°47'E\
Bearing: 64°\
Distance: 12207km", 29°35'N, 055°47'E
5970,VO ISLAMIC REP.IRAN,18:23:00,19:20:00,1234567,Albanian,500,295,"IRN\
SirjanLatitude: 29°35'N\
Longitude: 055°47'E\
Bearing: 64°\
Distance: 12207km", 29°35'N, 055°47'E
6020,CHINA RADIO INTERNATIONAL,19:00:00,19:57:00,1234567,Albanian,500,315,"CHN\
ShijiazhuangLatitude: 37°49'N\
Longitude: 114°28'E\
Bearing: 40°\
Distance: 17338km", 37°49'N, 114°28'E
7385,CHINA RADIO INTERNATIONAL,19:00:00,19:57:00,1234567,Albanian,500,294,"TKS\
Kashi-saibaghLatitude: 39°21'N\
Longitude: 075°42'E\
Bearing: 55°\
Distance: 14132km", 39°21'N, 075°42'E
9440,R.CAIRO,15:00:00,16:00:00,1234567,Albanian,125,325,"EGY\
AbisLatitude: 31°07'N\
Longitude: 030°04'E\
Bearing: 56°\
Distance: 9933km", 31°07'N, 030°04'E
6090,Radio Amhara,03:00:00,06:00:00,1234567,Amharic,100,ND,"ETH\
Addis Ababa-gedjaLatitude: 08°45'N\
Longitude: 038°39'E\
Bearing: 79°\
Distance: 9780km", 08°45'N, 038°39'E
6090,Radio Amhara,09:00:00,11:00:00,1234567,Amharic,100,ND,"ETH\
Addis Ababa-gedjaLatitude: 08°45'N\
Longitude: 038°39'E\
Bearing: 79°\
Distance: 9780km", 08°45'N, 038°39'E
6090,Radio Amhara,14:00:00,17:30:00,1234567,Amharic,100,ND,"ETH\
Addis Ababa-gedjaLatitude: 08°45'N\
Longitude: 038°39'E\
Bearing: 79°\
Distance: 9780km", 08°45'N, 038°39'E
6090,Radio Amhara,19:30:00,21:00:00,1234567,Amharic,100,ND,"ETH\
Addis Ababa-gedjaLatitude: 08°45'N\
Longitude: 038°39'E\
Bearing: 79°\
Distance: 9780km", 08°45'N, 038°39'E
6110,R.Fana,03:00:00,05:30:00,.23456.,Amharic,100,ND,"ETH\
Addis Ababa AreaLatitude: 08°58'N\
Longitude: 038°43'E\
Bearing: 79°\
Distance: 9794km", 08°58'N, 038°43'E
6110,R.Fana,05:30:00,08:00:00,1.....7,Amharic,100,ND,"ETH\
Addis Ababa AreaLatitude: 08°58'N\
Longitude: 038°43'E\
Bearing: 79°\
Distance: 9794km", 08°58'N, 038°43'E
6110,R.Fana,09:00:00,10:00:00,.23456.,Amharic,100,ND,"ETH\
Addis Ababa AreaLatitude: 08°58'N\
Longitude: 038°43'E\
Bearing: 79°\
Distance: 9794km", 08°58'N, 038°43'E
6110,R.Fana,15:00:00,17:00:00,1234567,Amharic,100,ND,"ETH\
Addis Ababa AreaLatitude: 08°58'N\
Longitude: 038°43'E\
Bearing: 79°\
Distance: 9794km", 08°58'N, 038°43'E
6110,R.Fana,17:00:00,21:00:00,1.....7,Amharic,100,ND,"ETH\
Addis Ababa AreaLatitude: 08°58'N\
Longitude: 038°43'E\
Bearing: 79°\
Distance: 9794km", 08°58'N, 038°43'E
7110,Radio Ethiopia,15:00:00,18:00:00,1234567,Amharic,\N,,"ETH\
Addis Ababa AreaLatitude: 08°58'N\
Longitude: 038°43'E\
Bearing: 79°\
Distance: 9794km", 08°58'N, 038°43'E
9485,VOICE OF AMERICA,18:00:00,19:00:00,1234567,Amharic,300,126,"G\
WooffertonLatitude: 52°16'N\
Longitude: 002°49'W\
Bearing: 24°\
Distance: 9133km", 52°16'N, 002°49'W
9500,TWR Africa,16:30:00,16:45:00,.2.....,Amharic,100,13,"SWZ\
ManziniLatitude: 26°20'S\
Longitude: 031°35'E\
Bearing: 111°\
Distance: 7786km", 26°20'S, 031°35'E
9500,TWR Africa,17:00:00,17:30:00,1234567,Amharic,100,13,"SWZ\
ManziniLatitude: 26°20'S\
Longitude: 031°35'E\
Bearing: 111°\
Distance: 7786km", 26°20'S, 031°35'E
9540,IBRA MEDIA/Radio Ibrahim,16:15:00,17:00:00,1234567,Amharic,250,225,"UAE\
Al-DhabbiyaLatitude: 24°10'N\
Longitude: 054°14'E\
Bearing: 70°\
Distance: 11908km", 24°10'N, 054°14'E
9655,TWR Africa,03:30:00,03:45:00,12.....,Amharic,250,225,"UAE\
Al-DhabbiyaLatitude: 24°10'N\
Longitude: 054°14'E\
Bearing: 70°\
Distance: 11908km", 24°10'N, 054°14'E
9705,BBC,18:30:00,18:50:00,.23456.,Amharic,250,130,"CVA\
Santa Maria Di GaleriaLatitude: 42°02'N\
Longitude: 012°19'E\
Bearing: 39°\
Distance: 9188km", 42°02'N, 012°19'E
11830,BBC,17:30:00,17:49:00,.23456.,Amharic,250,115,"CVA\
Santa Maria Di GaleriaLatitude: 42°02'N\
Longitude: 012°19'E\
Bearing: 39°\
Distance: 9188km", 42°02'N, 012°19'E
11895,BBC,17:30:00,17:49:00,.23456.,Amharic,250,240,"OMA\
Al SeelaLatitude: 21°55'N\
Longitude: 059°37'E\
Bearing: 73°\
Distance: 12373km", 21°55'N, 059°37'E
11895,BBC,18:30:00,18:50:00,.23456.,Amharic,250,240,"OMA\
Al SeelaLatitude: 21°55'N\
Longitude: 059°37'E\
Bearing: 73°\
Distance: 12373km", 21°55'N, 059°37'E
12040,ADVENTIST WORLD R.,16:30:00,17:00:00,1234567,Amharic,250,140,"D\
NauenLatitude: 52°38'N\
Longitude: 012°54'E\
Bearing: 31°\
Distance: 9934km", 52°38'N, 012°54'E
12040,VOICE OF AMERICA,17:00:00,17:30:00,1234567,Amharic,100,76,"STP\
PinheiraLatitude: 00°17'N\
Longitude: 006°45'E\
Bearing: 74°\
Distance: 6167km", 00°17'N, 006°45'E
12040,VOICE OF AMERICA,18:00:00,19:00:00,1234567,Amharic,1,ND,Lampertheim,\N,\N
13765,VOICE OF AMERICA,18:00:00,19:00:00,1234567,Amharic,250,185,"KWT\
KuwaitLatitude: 29°30'N\
Longitude: 047°40'E\
Bearing: 63°\
Distance: 11447km", 29°30'N, 047°40'E
13830,VATICAN RADIO,15:30:00,16:00:00,1234567,Amharic,250,115,"CVA\
Santa Maria Di GaleriaLatitude: 42°02'N\
Longitude: 012°19'E\
Bearing: 39°\
Distance: 9188km", 42°02'N, 012°19'E
15275,DEUTSCHE WELLE,16:00:00,17:00:00,1234567,Amharic,500,130,"F\
IssoudunLatitude: 46°57'N\
Longitude: 001°53'E\
Bearing: 30°\
Distance: 8923km", 46°57'N, 001°53'E
15310,ADVENTIST WORLD R.,04:00:00,04:30:00,1234567,Amharic,125,270,"CLN\
TrincomaleeLatitude: 08°44'N\
Longitude: 081°07'E\
Bearing: 95°\
Distance: 14174km", 08°44'N, 081°07'E
15310,BIBLE VOICE BCN,16:30:00,17:30:00,..3....,Amharic,100,142,"D\
NauenLatitude: 52°38'N\
Longitude: 012°54'E\
Bearing: 31°\
Distance: 9934km", 52°38'N, 012°54'E
15310,BIBLE VOICE BCN,17:00:00,17:30:00,...45..,Amharic,100,142,"D\
NauenLatitude: 52°38'N\
Longitude: 012°54'E\
Bearing: 31°\
Distance: 9934km", 52°38'N, 012°54'E
15565,VATICAN RADIO,15:30:00,16:00:00,1234567,Amharic,250,135,"CVA\
Santa Maria Di GaleriaLatitude: 42°02'N\
Longitude: 012°19'E\
Bearing: 39°\
Distance: 9188km", 42°02'N, 012°19'E
15580,VOICE OF AMERICA,17:00:00,17:30:00,1234567,Amharic,100,10,"BOT\
Selebi-phikweLatitude: 21°57'S\
Longitude: 027°38'E\
Bearing: 105°\
Distance: 7517km", 21°57'S, 027°38'E
15595,VATICAN RADIO,09:30:00,10:50:00,1......,Amharic,250,121,"CVA\
Santa Maria Di GaleriaLatitude: 42°02'N\
Longitude: 012°19'E\
Bearing: 39°\
Distance: 9188km", 42°02'N, 012°19'E
15685,BBC,17:30:00,17:49:00,.23456.,Amharic,250,230,"UAE\
Al-DhabbiyaLatitude: 24°10'N\
Longitude: 054°14'E\
Bearing: 70°\
Distance: 11908km", 24°10'N, 054°14'E
17790,VATICAN RADIO,09:30:00,10:50:00,1......,Amharic,250,139,"CVA\
Santa Maria Di GaleriaLatitude: 42°02'N\
Longitude: 012°19'E\
Bearing: 39°\
Distance: 9188km", 42°02'N, 012°19'E
17800,DEUTSCHE WELLE,16:00:00,17:00:00,1234567,Amharic,500,130,"F\
IssoudunLatitude: 46°57'N\
Longitude: 001°53'E\
Bearing: 30°\
Distance: 8923km", 46°57'N, 001°53'E
6140,R.TAIWAN INT.,12:00:00,13:00:00,1234567,Amoy,100,267,"TWN\
KouhuLatitude: 23°32'N\
Longitude: 120°10'E\
Bearing: 75°\
Distance: 18537km", 23°32'N, 120°10'E
6165,CNR 6,22:00:00,01:00:00,1234567,Amoy,100,163,"CHN\
BeijingLatitude: 39°53'N\
Longitude: 116°34'E\
Bearing: 34°\
Distance: 17317km", 39°53'N, 116°34'E
9400,R.TAIWAN INT.,09:00:00,10:00:00,1234567,Amoy,100,205,"TWN\
PaochungLatitude: 23°43'N\
Longitude: 120°18'E\
Bearing: 74°\
Distance: 18546km", 23°43'N, 120°18'E
9460,CHINA RADIO INTERNATIONAL,01:00:00,01:57:00,1234567,Amoy,150,163,"CHN\
Kunming-anningLatitude: 24°52'N\
Longitude: 102°29'E\
Bearing: 76°\
Distance: 16738km", 24°52'N, 102°29'E
9550,CHINA RADIO INTERNATIONAL,01:00:00,01:57:00,1234567,Amoy,150,191,"CHN\
Kunming-anningLatitude: 24°52'N\
Longitude: 102°29'E\
Bearing: 76°\
Distance: 16738km", 24°52'N, 102°29'E
9610,CHINA RADIO INTERNATIONAL,01:00:00,02:00:00,1234567,Amoy,100,225,"CHN\
Kunming-anningLatitude: 24°52'N\
Longitude: 102°29'E\
Bearing: 76°\
Distance: 16738km", 24°52'N, 102°29'E
9610,KSDA-ADVENTIST WORLD R.GUAM,12:00:00,12:30:00,12345..,Amoy,100,315,"GUM\
AgatLatitude: 13°20'N\
Longitude: 144°39'E\
Bearing: 234°\
Distance: 18628km", 13°20'N, 144°39'E
9655,CHINA RADIO INTERNATIONAL,14:00:00,14:57:00,1234567,Amoy,100,225,"CHN\
Kunming-anningLatitude: 24°52'N\
Longitude: 102°29'E\
Bearing: 76°\
Distance: 16738km", 24°52'N, 102°29'E
9730,CNR 6,22:00:00,01:00:00,1234567,Amoy,100,163,"CHN\
BeijingLatitude: 39°53'N\
Longitude: 116°34'E\
Bearing: 34°\
Distance: 17317km", 39°53'N, 116°34'E
9860,CHINA RADIO INTERNATIONAL,01:00:00,01:57:00,1234567,Amoy,500,161,"CHN\
JinhuaLatitude: 29°06'N\
Longitude: 119°18'E\
Bearing: 55°\
Distance: 18255km", 29°06'N, 119°18'E
11620,ADVENTIST WORLD R.,12:00:00,12:30:00,12345..,Amoy,100,60,"TJK\
Dushanbe-orzuLatitude: 37°32'N\
Longitude: 068°47'E\
Bearing: 57°\
Distance: 13528km", 37°32'N, 068°47'E
11650,CHINA RADIO INTERNATIONAL,14:00:00,14:57:00,1234567,Amoy,150,177,"CHN\
Kunming-anningLatitude: 24°52'N\
Longitude: 102°29'E\
Bearing: 76°\
Distance: 16738km", 24°52'N, 102°29'E
11830,ADVENTIST WORLD R.,01:00:00,01:30:00,12345..,Amoy,125,60,"CLN\
TrincomaleeLatitude: 08°44'N\
Longitude: 081°07'E\
Bearing: 95°\
Distance: 14174km", 08°44'N, 081°07'E
11905,CNR 6,01:00:00,05:00:00,1234567,Amoy,100,163,"CHN\
BeijingLatitude: 39°53'N\
Longitude: 116°34'E\
Bearing: 34°\
Distance: 17317km", 39°53'N, 116°34'E
11910,CHINA RADIO INTERNATIONAL,12:00:00,13:00:00,1234567,Amoy,500,165,"CHN\
BeijingLatitude: 39°44'N\
Longitude: 116°48'E\
Bearing: 34°\
Distance: 17342km", 39°44'N, 116°48'E
11945,CHINA RADIO INTERNATIONAL,01:00:00,01:57:00,1234567,Amoy,150,177,"CHN\
Kunming-anningLatitude: 24°52'N\
Longitude: 102°29'E\
Bearing: 76°\
Distance: 16738km", 24°52'N, 102°29'E
11980,CHINA RADIO INTERNATIONAL,01:00:00,01:57:00,1234567,Amoy,100,184,"CHN\
Kunming-anningLatitude: 24°52'N\
Longitude: 102°29'E\
Bearing: 76°\
Distance: 16738km", 24°52'N, 102°29'E
12010,CNR 6,22:00:00,02:00:00,1234567,Amoy,100,142,"CHN\
NanningLatitude: 22°47'N\
Longitude: 108°11'E\
Bearing: 80°\
Distance: 17320km", 22°47'N, 108°11'E
12065,R.TAIWAN INT.,09:00:00,10:00:00,1234567,Amoy,100,225,"TWN\
PaochungLatitude: 23°43'N\
Longitude: 120°18'E\
Bearing: 74°\
Distance: 18546km", 23°43'N, 120°18'E
12080,KSDA-ADVENTIST WORLD R.GUAM,12:00:00,12:30:00,12345..,Amoy,100,300,"GUM\
AgatLatitude: 13°20'N\
Longitude: 144°39'E\
Bearing: 234°\
Distance: 18628km", 13°20'N, 144°39'E
13670,CNR 6,02:00:00,05:00:00,1234567,Amoy,100,142,"CHN\
NanningLatitude: 22°47'N\
Longitude: 108°11'E\
Bearing: 80°\
Distance: 17320km", 22°47'N, 108°11'E
15425,CHINA RADIO INTERNATIONAL,01:00:00,03:00:00,1234567,Amoy,500,190,"CHN\
XianyangLatitude: 34°22'N\
Longitude: 108°36'E\
Bearing: 53°\
Distance: 17090km", 34°22'N, 108°36'E
15710,CNR 6,01:00:00,05:00:00,1234567,Amoy,100,163,"CHN\
BeijingLatitude: 39°53'N\
Longitude: 116°34'E\
Bearing: 34°\
Distance: 17317km", 39°53'N, 116°34'E
17490,CHINA RADIO INTERNATIONAL,01:00:00,03:00:00,1234567,Amoy,500,193,"CHN\
BeijingLatitude: 39°44'N\
Longitude: 116°48'E\
Bearing: 34°\
Distance: 17341km", 39°44'N, 116°48'E
3325,VOICE OF INDONESIA,16:00:00,17:00:00,1234567,Arabic,10,ND,"INS\
PalangkarayaLatitude: 02°11'S\
Longitude: 113°53'E\
Bearing: 136°\
Distance: 16624km", 02°11'S, 113°53'E
4750,VOICE OF INDONESIA,16:00:00,17:00:00,1234567,Arabic,10,30,"INS\
Jakarta-cimanggisLatitude: 06°07'S\
Longitude: 106°51'E\
Bearing: 132°\
Distance: 15777km", 06°07'S, 106°51'E
5900,BIBLE VOICE BCN RADIO DARDASHA7,19:30:00,19:45:00,1234567,Arabic,50,126,"BUL\
Kostinbrod(sofia)Latitude: 42°48'N\
Longitude: 023°11'E\
Bearing: 43°\
Distance: 9981km", 42°48'N, 023°11'E
5900,BIBLE VOICE BCN RADIO DARDASHA7,19:45:00,20:00:00,1234567,Arabic,50,126,"BUL\
Kostinbrod(sofia)Latitude: 42°48'N\
Longitude: 023°11'E\
Bearing: 43°\
Distance: 9981km", 42°48'N, 023°11'E
5960,R.KUWAIT,02:55:00,09:00:00,1234567,Arabic,250,ND,"KWT\
SulaibiyahLatitude: 29°08'N\
Longitude: 047°46'E\
Bearing: 63°\
Distance: 11444km", 29°08'N, 047°46'E
5985,VOICE OF TURKEY,15:00:00,15:56:00,1234567,Arabic,250,150,"TUR\
EmirlerLatitude: 39°24'N\
Longitude: 032°51'E\
Bearing: 49°\
Distance: 10540km", 39°24'N, 032°51'E
6060,VO ISLAMIC REP.IRAN,17:30:00,02:30:00,1234567,Arabic,500,289,"IRN\
ZahedanLatitude: 29°28'N\
Longitude: 060°51'E\
Bearing: 66°\
Distance: 12684km", 29°28'N, 060°51'E
6070,VO ISLAMIC REP.IRAN,03:20:00,04:19:00,1234567,Arabic,500,285,"IRN\
SirjanLatitude: 29°35'N\
Longitude: 055°47'E\
Bearing: 64°\
Distance: 12207km", 29°35'N, 055°47'E
6090,KBS WORLD RADIO,20:00:00,21:00:00,1234567,Arabic,250,172,"G\
WooffertonLatitude: 52°16'N\
Longitude: 002°49'W\
Bearing: 24°\
Distance: 9133km", 52°16'N, 002°49'W
6100,CHINA RADIO INTERNATIONAL,20:00:00,22:00:00,1234567,Arabic,500,292,"CHN\
XianyangLatitude: 34°22'N\
Longitude: 108°36'E\
Bearing: 53°\
Distance: 17090km", 34°22'N, 108°36'E
6130,ADVENTIST WORLD R.,19:00:00,20:00:00,1234567,Arabic,250,210,"D\
NauenLatitude: 52°38'N\
Longitude: 012°54'E\
Bearing: 31°\
Distance: 9934km", 52°38'N, 012°54'E
7205,Radio Omdurman Sudan,02:00:00,16:30:00,1234567,Arabic,100,210,"SDN\
Al AitahabLatitude: 15°35'N\
Longitude: 032°26'E\
Bearing: 71°\
Distance: 9444km", 15°35'N, 032°26'E
7205,Radio Omdurman Sudan,19:00:00,22:00:00,1234567,Arabic,100,210,"SDN\
Al AitahabLatitude: 15°35'N\
Longitude: 032°26'E\
Bearing: 71°\
Distance: 9444km", 15°35'N, 032°26'E
7220,VO ISLAMIC REP.IRAN,01:30:00,03:30:00,1234567,Arabic,500,210,"IRN\
SirjanLatitude: 29°35'N\
Longitude: 055°47'E\
Bearing: 64°\
Distance: 12207km", 29°35'N, 055°47'E
7245,VOICE OF TAJIK,12:00:00,13:00:00,1234567,Arabic,100,ND,"TJK\
Dushanbe-orzuLatitude: 37°32'N\
Longitude: 068°47'E\
Bearing: 57°\
Distance: 13528km", 37°32'N, 068°47'E
7250,R.BANGLADESH BETAR,16:00:00,16:30:00,1234567,Arabic,250,290,"BGD\
Dhaka KhabirpurLatitude: 24°00'N\
Longitude: 090°15'E\
Bearing: 77°\
Distance: 15498km", 24°00'N, 090°15'E
7300,CHINA RADIO INTERNATIONAL,16:00:00,18:00:00,1234567,Arabic,500,269,"TKS\
Kashi-saibaghLatitude: 39°21'N\
Longitude: 075°42'E\
Bearing: 55°\
Distance: 14132km", 39°21'N, 075°42'E
7300,HCJB RADIO AKHBAR MUFRIHA,21:00:00,21:15:00,234567,Arabic,250,170,"G\
WooffertonLatitude: 52°16'N\
Longitude: 002°49'W\
Bearing: 24°\
Distance: 9133km", 52°16'N, 002°49'W
7300,HCJB RADIO AKHBAR MUFRIHA,21:00:00,21:45:00,1......,Arabic,250,170,"G\
WooffertonLatitude: 52°16'N\
Longitude: 002°49'W\
Bearing: 24°\
Distance: 9133km", 52°16'N, 002°49'W
7310,VO ISLAMIC REP.IRAN,14:30:00,17:30:00,1234567,Arabic,500,289,"IRN\
ZahedanLatitude: 29°28'N\
Longitude: 060°51'E\
Bearing: 66°\
Distance: 12684km", 29°28'N, 060°51'E
7315,Follow The Bible Ministr,20:00:00,20:28:00,1......,Arabic,125,130,"G\
WooffertonLatitude: 52°16'N\
Longitude: 002°49'W\
Bearing: 24°\
Distance: 9133km", 52°16'N, 002°49'W
7380,VO ISLAMIC REP.IRAN,02:30:00,05:30:00,1234567,Arabic,500,289,"IRN\
ZahedanLatitude: 29°28'N\
Longitude: 060°51'E\
Bearing: 66°\
Distance: 12684km", 29°28'N, 060°51'E
7380,Follow The Bible Ministr,20:00:00,20:28:00,1......,Arabic,125,130,"G\
WooffertonLatitude: 52°16'N\
Longitude: 002°49'W\
Bearing: 24°\
Distance: 9133km", 52°16'N, 002°49'W
7410,R.SAUDI,03:00:00,06:00:00,1234567,Arabic,100,ND,"ARS\
RiyadhLatitude: 24°49'N\
Longitude: 046°52'E\
Bearing: 67°\
Distance: 11214km", 24°49'N, 046°52'E
7425,R.SAUDI,17:55:00,23:57:00,1234567,Arabic,100,ND,"ARS\
RiyadhLatitude: 24°49'N\
Longitude: 046°52'E\
Bearing: 67°\
Distance: 11214km", 24°49'N, 046°52'E
9400,BIBLE VOICE BCN RADIO DARDASHA7,19:45:00,20:00:00,1234567,Arabic,50,195,"BUL\
Kostinbrod(sofia)Latitude: 42°48'N\
Longitude: 023°11'E\
Bearing: 43°\
Distance: 9981km", 42°48'N, 023°11'E
9440,BIBLE VOICE BCN RADIO DARDASHA7,06:00:00,06:15:00,1234567,Arabic,125,180,"D\
NauenLatitude: 52°38'N\
Longitude: 012°54'E\
Bearing: 31°\
Distance: 9934km", 52°38'N, 012°54'E
9450,BIBLE VOICE BCN,05:00:00,05:15:00,.....6.,Arabic,250,120,"D\
NauenLatitude: 52°38'N\
Longitude: 012°54'E\
Bearing: 31°\
Distance: 9934km", 52°38'N, 012°54'E
9490,BIBLE VOICE BCN,17:10:00,17:30:00,.2.4...,Arabic,100,141,"BUL\
Kostinbrod(sofia)Latitude: 42°48'N\
Longitude: 023°11'E\
Bearing: 43°\
Distance: 9981km", 42°48'N, 023°11'E
9490,BIBLE VOICE BCN Radio Da,17:30:00,17:45:00,1234567,Arabic,100,141,"BUL\
Kostinbrod(sofia)Latitude: 42°48'N\
Longitude: 023°11'E\
Bearing: 43°\
Distance: 9981km", 42°48'N, 023°11'E
9500,Ifrikya FM,04:00:00,07:00:00,1234567,Arabic,300,131,"ALG\
BecharLatitude: 31°34'N\
Longitude: 002°21'W\
Bearing: 39°\
Distance: 7442km", 31°34'N, 002°21'W
9555,R.SAUDI,17:55:00,23:00:00,1234567,Arabic,500,295,"ARS\
RiyadhLatitude: 24°49'N\
Longitude: 046°52'E\
Bearing: 67°\
Distance: 11214km", 24°49'N, 046°52'E
